2002,GALILEO (POL),Jason Maguire,Tom George,OVER THE BAR (IRE),Norman Williamson,"E. J. O Grady, Ireland",LANZERAC,P. Flynn,John Harris,88,ballymore novices hurdle
2023,THE REAL WHACKER (IRE),Sam Twiston-Davies,Patrick Neville,GERRI COLOMBE (FR),Jordan Colin Gainford,"Gordon Elliott, Ireland",BRONN (IRE),Daryl Jacob,"W. P. Mullins, Ireland",89,rsa
2022,L'HOMME PRESSE (FR),Charlie Deutsch,Venetia Williams,AHOY SENOR (IRE),Derek Fox,Lucinda Russell,GAILLARD DU MESNIL (FR),P. Townend,"W. P. Mullins, Ireland",90,rsa
2021,MONKFISH (IRE),P. Townend,"W. P. Mullins, Ireland",FIDDLERONTHEROOF (IRE),Robbie Power,Colin Tizzard,THE BIG BREAKAWAY (IRE),Harry Cobden,Colin Tizzard,91,rsa
2020,CHAMP (IRE),Barry Geraghty,Nicky Henderson,MINELLA INDO (IRE),Rachael Blackmore,"Henry de Bromhead, Ireland",ALLAHO (FR),P. Townend,"W. P. Mullins, Ireland",92,rsa
2019,TOPOFTHEGAME (IRE),Harry Cobden,Paul Nicholls,SANTINI,Nico de Boinville,Nicky Henderson,DELTA WORK (FR),Davy Russell,"Gordon Elliott, Ireland",93,rsa
2018,PRESENTING PERCY,Davy Russell,"Patrick G. Kelly, Ireland",MONALEE (IRE),Noel Fehily,"Henry de Bromhead, Ireland",ELEGANT ESCAPE (IRE),Harry Cobden,Colin Tizzard,94,rsa
2017,MIGHT BITE (IRE),Nico de Boinville,Nicky Henderson,WHISPER (FR),Davy Russell,Nicky Henderson,BELLSHILL (IRE),R. Walsh,"W. P. Mullins, Ireland",95,rsa
2016,BLAKLION,Ryan Hatch,Nigel Twiston-Davies,SHANESHILL (IRE),P. Townend,"W. P. Mullins, Ireland",MORE OF THAT (IRE),Barry Geraghty,Jonjo O'Neill,96,rsa
2015,DON POLI (IRE),B. J. Cooper,"W. P. Mullins, Ireland",SOUTHFIELD THEATRE (IRE),Sam Twiston-Davies,Paul Nicholls,WOUNDED WARRIOR (IRE),Paul Carberry,"Noel Meade, Ireland",97,rsa
